"FOOD_GROUP","SERIES_NAME"
"Fats and oils","Cost of oils and fats"
"Herbs and Spices","Cost of vegetables"
"Gourds","Cost of fruits"
"Aquatic foods","Cost of animal-source foods"
"Teas","Cost of vegetables"
"Cereals and cereal products","Cost of starchy staples"
"Baking goods","Cost of starchy staples"
"Nuts","Cost of legumes, nuts and seeds"
"Milk and milk products","Cost of animal-source foods"
"Vegetables","Cost of vegetables"
"Fruits","Cost of fruits"
"Pulses","Cost of legumes, nuts and seeds"
"Coffee and coffee products","Cost of legumes, nuts and seeds"
"Animal foods","Cost of animal-source foods"
"Cocoa and cocoa products","Cost of legumes, nuts and seeds"
"Eggs","Cost of animal-source foods"
