Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Albania,ALB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.204,..,..,..,..
Albania,ALB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.911,..,..,..,..
Albania,ALB,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.441,..,..,..,..
Albania,ALB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.089,..,..,..,..
Albania,ALB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.599,..,..,..,..
Albania,ALB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.707,..,..,..,..
Algeria,DZA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.964,..,..,..,..
Algeria,DZA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.979,..,..,..,..
Algeria,DZA,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.493,..,..,..,..
Algeria,DZA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.132,..,..,..,..
Algeria,DZA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.496,..,..,..,..
Algeria,DZA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.699,..,..,..,..
Angola,AGO,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.011,..,..,..,..
Angola,AGO,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.717,..,..,..,..
Angola,AGO,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.395,..,..,..,..
Angola,AGO,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.166,..,..,..,..
Angola,AGO,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.839,..,..,..,..
Angola,AGO,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,1.199,..,..,..,..
Anguilla,AIA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.647,..,..,..,..
Anguilla,AIA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.811,..,..,..,..
Anguilla,AIA,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.328,..,..,..,..
Anguilla,AIA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.134,..,..,..,..
Anguilla,AIA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.778,..,..,..,..
Anguilla,AIA,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,1.019,..,..,..,..
Antigua and Barbuda,ATG,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.682,..,..,..,..
Antigua and Barbuda,ATG,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,1.003,..,..,..,..
Antigua and Barbuda,ATG,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.429,..,..,..,..
Antigua and Barbuda,ATG,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.115,..,..,..,..
Antigua and Barbuda,ATG,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.604,..,..,..,..
Antigua and Barbuda,ATG,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,1.279,..,..,..,..
Argentina,ARG,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.669,..,..,..,..
Argentina,ARG,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.733,..,..,..,..
Argentina,ARG,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.656,..,..,..,..
Argentina,ARG,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.117,..,..,..,..
Argentina,ARG,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.463,..,..,..,..
Argentina,ARG,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.703,..,..,..,..
Armenia,ARM,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.973,..,..,..,..
Armenia,ARM,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.488,..,..,..,..
Armenia,ARM,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.541,..,..,..,..
Armenia,ARM,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.123,..,..,..,..
Armenia,ARM,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.537,..,..,..,..
Armenia,ARM,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.433,..,..,..,..
Aruba,ABW,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.718,..,..,..,..
Aruba,ABW,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.475,..,..,..,..
Aruba,ABW,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.407,..,..,..,..
Aruba,ABW,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.115,..,..,..,..
Aruba,ABW,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.797,..,..,..,..
Aruba,ABW,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.907,..,..,..,..
Australia,AUS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.458,..,..,..,..
Australia,AUS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.667,..,..,..,..
Australia,AUS,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.249,..,..,..,..
Australia,AUS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.067,..,..,..,..
Australia,AUS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.221,..,..,..,..
Australia,AUS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.597,..,..,..,..
Austria,AUT,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.612,..,..,..,..
Austria,AUT,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.819,..,..,..,..
Austria,AUT,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.36,..,..,..,..
Austria,AUT,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.055,..,..,..,..
Austria,AUT,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.229,..,..,..,..
Austria,AUT,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.698,..,..,..,..
Azerbaijan,AZE,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.729,..,..,..,..
Azerbaijan,AZE,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.26,..,..,..,..
Azerbaijan,AZE,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.463,..,..,..,..
Azerbaijan,AZE,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.132,..,..,..,..
Azerbaijan,AZE,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.448,..,..,..,..
Azerbaijan,AZE,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.317,..,..,..,..
"Bahamas, The",BHS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.848,..,..,..,..
"Bahamas, The",BHS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,1.03,..,..,..,..
"Bahamas, The",BHS,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.656,..,..,..,..
"Bahamas, The",BHS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.453,..,..,..,..
"Bahamas, The",BHS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.574,..,..,..,..
"Bahamas, The",BHS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.716,..,..,..,..
