"index","ID","COMMON_NAME","SCIENTIFIC_NAME","FOOD_GROUP","FOOD_SUBGROUP"
"0","1","Angelica","Angelica keiskei","Herbs and Spices","Herbs"
"1","2","Savoy cabbage","Brassica oleracea var. sabauda","Vegetables","Cabbages"
"2","3","Silver linden","Tilia argentea","Herbs and Spices","Herbs"
"3","4","Kiwi","Actinidia chinensis","Fruits","Tropical fruits"
"4","5","Allium","Allium","Vegetables","Onion-family vegetables"
"5","6","Garden onion","Allium cepa","Vegetables","Onion-family vegetables"
"6","7","Leek","Allium porrum","Vegetables","Onion-family vegetables"
"7","8","Garlic","Allium sativum","Herbs and Spices","Herbs"
"8","9","Chives","Allium schoenoprasum","Herbs and Spices","Herbs"
"9","10","Lemon verbena","Aloysia triphylla","Herbs and Spices","Herbs"
"10","11","Cashew nut","Anacardium occidentale","Nuts","Nuts"
"11","12","Pineapple","Ananas comosus","Fruits","Tropical fruits"
"12","13","Dill","Anethum graveolens","Herbs and Spices","Herbs"
"13","14","Custard apple","Annona reticulata","Fruits","Tropical fruits"
"14","15","Wild celery","Apium graveolens","Herbs and Spices","Spices"
"15","16","Peanut","Arachis hypogaea","Nuts","Nuts"
"16","17","Burdock","Arctium lappa","Vegetables","Root vegetables"
"17","18","Horseradish","Armoracia rusticana","Herbs and Spices","Spices"
"18","19","Tarragon","Artemisia dracunculus","Herbs and Spices","Herbs"
"19","20","Mugwort","Artemisia vulgaris","Herbs and Spices","Herbs"
"20","21","Asparagus","Asparagus officinalis","Vegetables","Shoot vegetables"
"21","22","Oat","Avena sativa","Cereals and cereal products","Cereals"
"22","23","Star fruit","Averrhoa carambola","Fruits","Tropical fruits"
"23","24","Brazil nut","Bertholletia excelsa","Nuts","Nuts"
"24","25","Common beet","Beta vulgaris","Vegetables","Leaf vegetables"
"25","26","Borage","Borago officinalis","Herbs and Spices","Oilseed crops"
"26","27","Chinese mustard","Brassica juncea","Vegetables","Cabbages"
"27","28","Swede","Brassica napus","Vegetables","Root vegetables"
"28","29","Rape","Brassica napus var. napus","Vegetables","Root vegetables"
"29","30","Common cabbage","Brassica oleracea","Vegetables","Cabbages"
"30","31","Cauliflower","Brassica oleracea var. botrytis","Vegetables","Cabbages"
"31","32","Brussel sprouts","Brassica oleracea var. gemmifera","Vegetables","Cabbages"
"32","33","Kohlrabi","Brassica oleracea var. gongylodes","Vegetables","Root vegetables"
"33","34","Broccoli","Brassica oleracea var. italica","Vegetables","Cabbages"
"34","35","Chinese cabbage","Brassica rapa","Vegetables","Cabbages"
"35","36","Turnip","Brassica rapa var. rapa","Herbs and Spices","Herbs"
"36","37","Pigeon pea","Cajanus cajan","Pulses","Peas"
"37","38","Tea","Camellia sinensis","Teas","Teas"
"38","39","Capers","Capparis spinosa","Herbs and Spices","Spices"
"39","40","Pepper","Capsicum annuum","Vegetables","Fruit vegetables"
"40","41","Papaya","Carica papaya","Fruits","Tropical fruits"
"41","42","Safflower","Carthamus tinctorius","Herbs and Spices","Oilseed crops"
"42","43","Caraway","Carum carvi","Herbs and Spices","Spices"
"43","44","Pecan nut","Carya illinoinensis","Nuts","Nuts"
"44","45","Chestnut","Castanea","Nuts","Nuts"
"45","46","Roman camomile","Chamaemelum nobile","Herbs and Spices","Herbs"
"46","47","Chickpea","Cicer arietinum","Pulses","Peas"
"47","48","Endive","Cichorium endivia","Vegetables","Leaf vegetables"
"48","49","Chicory","Cichorium intybus","Vegetables","Root vegetables"
"49","50","Chinese cinnamon","Cinnamomum aromaticum","Herbs and Spices","Spices"
"50","51","Ceylon cinnamon","Cinnamomum verum","Herbs and Spices","Spices"
